Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2006,0,0,Cedric Bozeman,G,None,UCLA,23,5,8.7,1.13,1.7,0.48,0.282,0.57,0.09,0.154,0.26,0.09,0.333,1,0.87,0.13,0.39,0.39,0.22,0.09,1.39
2006,0,0,Mike Hall,F,None,George Washington,2,0,6.4,1,2,0.5,0.25,0,0,0,0,0,0,1,0.5,0.5,0.5,0,0,0,0.5
2006,0,0,Robert Hite,SG,None,Miami (FL),12,0,11.3,4.25,5,1.58,0.317,1.92,0.42,0.217,1,0.67,0.667,1.33,1,0.33,0.67,0.5,0.25,0.17,0.67
2006,0,0,Dontell Jefferson,G,None,Arkansas,6,0,14,4.83,3.67,1.83,0.5,0.33,0.17,0.5,1.5,1,0.667,2,1.83,0.17,1.5,1,0.67,0.17,1.5
2006,0,0,Pooh Jeter,G,None,Portland,62,1,13.8,4.11,4.18,1.71,0.409,0.48,0.1,0.2,0.66,0.6,0.902,1.13,0.98,0.15,2.61,0.82,0.47,0.03,0.87
2006,0,0,Squeaky Johnson,G,None,UAB,15,0,7.9,1.8,2.33,0.73,0.314,1,0.27,0.267,0.2,0.07,0.333,0.6,0.53,0.07,1.47,0.47,0.53,0,0.73
2006,0,0,Chris McCray,G,None,Maryland,5,0,2.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2
2006,0,0,Allan Ray,G,None,Villanova,47,5,15.1,6.17,5.51,2.13,0.386,2.47,1.02,0.414,1.17,0.89,0.764,1.47,1.09,0.38,0.91,0.89,0.43,0.06,1.81
2006,0,0,Walker Russell,PG,None,Jacksonville State,28,0,12.8,3,3.43,1.18,0.344,0.46,0.14,0.308,0.79,0.5,0.636,0.93,0.68,0.25,2.07,1.18,0.64,0.04,1.04
2006,0,0,Steven Smith,PF,None,La Salle,8,0,3.5,0.62,1,0.25,0.25,0,0,0,0.25,0.12,0.5,0.75,0.62,0.12,0,0.25,0.12,0,0.5
2006,0,0,Darius Washington,PG,None,Memphis,18,0,8.1,2.94,2.67,1.17,0.438,0.67,0.22,0.333,0.72,0.39,0.538,1.11,0.89,0.22,0.83,0.78,0.28,0,0.89
2006,0,0,Kenny Adeleke,F,None,Hartford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Akin Akingbala,PF,None,Clemson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Rod Benson,FC,None,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Brandon Bowman,F,None,Georgetown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Evan Brock,F,None,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Nik Caner-Medley,F,None,Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Milone Clark,G,None,Tennessee Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Chris Ellis,F,None,Wake Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Michael Fey,C,None,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Mike Gansey,G,None,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Taj Gray,PF,None,Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Vincent Grier,GF,None,Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Dan Grunfeld,GF,None,Stanford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Matt Haryasz,F,None,Stanford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Antoine Hood,G,None,Air Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Daniel Horton,SG,None,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Ron Howard,GF,None,Valparaiso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Gerry McNamara,G,None,Syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Paul Miller,C,None,Wichita State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Dwayne Mitchell,G,None,Louisiana-Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Andre Patterson,F,None,Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Aaron Pettway,PF,None,Oklahoma State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Kevin Pittsnogle,C,None,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Antywane Robinson,F,None,Temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Dawan Robinson,G,None,Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Marcus Slaughter,PF,None,San Diego State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Curtis Stinson,SG,None,Iowa State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
