Year,Round,Pick,Player,Position,NBA Team,Prev Team
1999,2,57,"Ginóbili, Manu",SG,San Antonio Spurs,Viola Reggio Calabria
1999,2,58,"Lucas, Eddie",G,Utah Jazz,Virginia Tech
1998,1,1,"Olowokandi, Michael",C,Los Angeles Clippers,Pacific
1998,1,2,"Bibby, Mike",PG,Vancouver Grizzlies,Arizona
1998,1,3,"LaFrentz, Raef",C/F,Denver Nuggets,Kansas
1998,1,4,"Jamison, Antawn",F,Toronto Raptors,North Carolina
1998,1,5,"Carter, Vince",G/F,Golden State Warriors,North Carolina
1998,1,6,"Traylor, Robert",F/C,Dallas Mavericks,Michigan
1998,1,7,"Williams, Jason",PG,Sacramento Kings,Florida
1998,1,8,"Hughes, Larry",SG,Philadelphia 76ers,Saint Louis
1998,1,9,"Nowitzki, Dirk",PF,Milwaukee Bucks,DJK Würzburg
1998,1,10,"Pierce, Paul",G/F,Boston Celtics,Kansas
1998,1,11,"Wells, Bonzi",G/F,Detroit Pistons,Ball State
1998,1,12,"Doleac, Michael",C,Orlando Magic,Utah
1998,1,13,"Clark, Keon",F/C,Orlando Magic,UNLV
1998,1,14,"Dickerson, Michael",SG,Houston Rockets,Arizona
1998,1,15,"Harpring, Matt",F/G,Orlando Magic,Georgia Tech
1998,1,16,"Drew, Bryce",PG,Houston Rockets,Valparaíso
1998,1,17,"Nesterovič, Radoslav",C,Minnesota Timberwolves,Kinder Bologna
1998,1,18,"Türkcan, Mirsad",PF,Houston Rockets,Efes Pilsen
1998,1,19,"Garrity, Pat",PF,Milwaukee Bucks,Notre Dame
1998,1,20,"McLeod, Roshown",SF,Atlanta Hawks,Duke
1998,1,21,"Davis, Ricky",G/F,Charlotte Hornets,Iowa
1998,1,22,"Skinner, Brian",F/C,Los Angeles Clippers,Baylor
1998,1,23,"Lue, Tyronn",PG,Denver Nuggets,Nebraska
1998,1,24,"López, Felipe",SG,San Antonio Spurs,St. John's
1998,1,25,"Harrington, Al",F,Indiana Pacers,St. Patrick's High School
1998,1,26,"Jacobson, Sam",SG,Los Angeles Lakers,Minnesota
1998,1,27,"Stepania, Vladimir",C,Seattle SuperSonics,Olimpija Ljubljana
1998,1,28,"Benjamin, Corey",SG,Chicago Bulls,Oregon State
